sentence,translate,divided_sentence,divided_sentence_with_ruby,sentence_with_ruby,level
午後に証言したよ。,오후에 증언을 했어요.,"[""午後に"", ""証言したよ。""]","[""<ruby>午後<rp>(</rp><rt>ごご</rt><rp>)</rp></ruby>に"", ""<ruby>証言<rp>(</rp><rt>しょうげん</rt><rp>)</rp></ruby>したよ。""]",<ruby>午後<rp>(</rp><rt>ごご</rt><rp>)</rp></ruby>に<ruby>証言<rp>(</rp><rt>しょうげん</rt><rp>)</rp></ruby>したよ。,N1
当事者が公証役場に行く場合、下記のものが必要になります。,당사자가 공증사무소에 갈 경우 다음이 필요합니다.,"[""当事者が"", ""公証役場に"", ""行く場合、"", ""下記のものが"", ""必要になります。""]","[""<ruby>当事者<rp>(</rp><rt>とうじしゃ</rt><rp>)</rp></ruby>が"", ""<ruby>公証<rp>(</rp><rt>こうしょう</rt><rp>)</rp></ruby><ruby>役場<rp>(</rp><rt>やくば</rt><rp>)</rp></ruby>に"", ""<ruby>行<rp>(</rp><rt>い</rt><rp>)</rp></ruby>く<ruby>場合<rp>(</rp><rt>ばあい</rt><rp>)</rp></ruby>、"", ""<ruby>下記<rp>(</rp><rt>かき</rt><rp>)</rp></ruby>のものが"", ""<ruby>必要<rp>(</rp><rt>ひつよう</rt><rp>)</rp></ruby>になります。""]",<ruby>当事者<rp>(</rp><rt>とうじしゃ</rt><rp>)</rp></ruby>が<ruby>公証<rp>(</rp><rt>こうしょう</rt><rp>)</rp></ruby><ruby>役場<rp>(</rp><rt>やくば</rt><rp>)</rp></ruby>に<ruby>行<rp>(</rp><rt>い</rt><rp>)</rp></ruby>く<ruby>場合<rp>(</rp><rt>ばあい</rt><rp>)</rp></ruby>、<ruby>下記<rp>(</rp><rt>かき</rt><rp>)</rp></ruby>のものが<ruby>必要<rp>(</rp><rt>ひつよう</rt><rp>)</rp></ruby>になります。,etc
彼らは援助を申し出た。,그들은 도움을 제안했다.,"[""彼らは"", ""援助を"", ""申し出た。""]","[""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>らは"", ""<ruby>援助<rp>(</rp><rt>えんじょ</rt><rp>)</rp></ruby>を"", ""<ruby>申<rp>(</rp><rt>もう</rt><rp>)</rp></ruby>し<ruby>出<rp>(</rp><rt>で</rt><rp>)</rp></ruby>た。""]",<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>らは<ruby>援助<rp>(</rp><rt>えんじょ</rt><rp>)</rp></ruby>を<ruby>申<rp>(</rp><rt>もう</rt><rp>)</rp></ruby>し<ruby>出<rp>(</rp><rt>で</rt><rp>)</rp></ruby>た。,N2
応援してね！,응원해 주세요!,"[""応援"", ""して"", ""ね！""]","[""<ruby>応援<rp>(</rp><rt>おうえん</rt><rp>)</rp></ruby>"", ""して"", ""ね！""]",<ruby>応援<rp>(</rp><rt>おうえん</rt><rp>)</rp></ruby>してね！,N2
救援作戦はトモダチサクセンと名付けられた。,구호 작전은 토모다치삭센(Tomodachi Saxony)으로 명명되었다.,"[""救援作戦は"", ""トモダチサクセンと"", ""名付けられた。""]","[""<ruby>救援<rp>(</rp><rt>きゅうえん</rt><rp>)</rp></ruby><ruby>作戦<rp>(</rp><rt>さくせん</rt><rp>)</rp></ruby>は"", ""トモダチサクセンと"", ""<ruby>名付<rp>(</rp><rt>なづ</rt><rp>)</rp></ruby>けられた。""]",<ruby>救援<rp>(</rp><rt>きゅうえん</rt><rp>)</rp></ruby><ruby>作戦<rp>(</rp><rt>さくせん</rt><rp>)</rp></ruby>はトモダチサクセンと<ruby>名付<rp>(</rp><rt>なづ</rt><rp>)</rp></ruby>けられた。,N1
私たちは支援を訴えた。,우리는 지지를 호소했다.,"[""私たちは"", ""支援を"", ""訴えた。""]","[""<ruby>私<rp>(</rp><rt>わたし</rt><rp>)</rp></ruby>たちは"", ""<ruby>支援<rp>(</rp><rt>しえん</rt><rp>)</rp></ruby>を"", ""<ruby>訴<rp>(</rp><rt>うった</rt><rp>)</rp></ruby>えた。""]",<ruby>私<rp>(</rp><rt>わたし</rt><rp>)</rp></ruby>たちは<ruby>支援<rp>(</rp><rt>しえん</rt><rp>)</rp></ruby>を<ruby>訴<rp>(</rp><rt>うった</rt><rp>)</rp></ruby>えた。,etc
その法律は即日施行された。,이 법은 바로 시행되었다.,"[""その"", ""法律は"", ""即日"", ""施行された""]","[""その"", ""<ruby>法律<rp>(</rp><rt>ほうりつ</rt><rp>)</rp></ruby>は"", ""<ruby>即日<rp>(</rp><rt>そくじつ</rt><rp>)</rp></ruby>"", ""<ruby>施行<rp>(</rp><rt>しこう</rt><rp>)</rp></ruby>された""]",その<ruby>法律<rp>(</rp><rt>ほうりつ</rt><rp>)</rp></ruby>は<ruby>即日<rp>(</rp><rt>そくじつ</rt><rp>)</rp></ruby><ruby>施行<rp>(</rp><rt>しこう</rt><rp>)</rp></ruby>された。,N1
新しい税制は、来年から実施される。,새로운 세제는 내년부터 시행된다.,"[""新しい"", ""税制は、"", ""来年から"", ""実施される。""]","[""<ruby>新<rp>(</rp><rt>あたら</rt><rp>)</rp></ruby>しい"", ""<ruby>税制<rp>(</rp><rt>ぜいせい</rt><rp>)</rp></ruby>は、"", ""<ruby>来年<rp>(</rp><rt>らいねん</rt><rp>)</rp></ruby>から"", ""<ruby>実施<rp>(</rp><rt>じっし</rt><rp>)</rp></ruby>される。""]",<ruby>新<rp>(</rp><rt>あたら</rt><rp>)</rp></ruby>しい<ruby>税制<rp>(</rp><rt>ぜいせい</rt><rp>)</rp></ruby>は、<ruby>来年<rp>(</rp><rt>らいねん</rt><rp>)</rp></ruby>から<ruby>実施<rp>(</rp><rt>じっし</rt><rp>)</rp></ruby>される。,N2
宿泊施設を捜しています。,숙소를 찾고 있습니다.,"[""宿泊施設を"", ""捜しています。""]","[""<ruby>宿泊<rp>(</rp><rt>しゅくはく</rt><rp>)</rp></ruby><ruby>施設<rp>(</rp><rt>しせつ</rt><rp>)</rp></ruby>を"", ""<ruby>捜<rp>(</rp><rt>さが</rt><rp>)</rp></ruby>しています。""]",<ruby>宿泊<rp>(</rp><rt>しゅくはく</rt><rp>)</rp></ruby><ruby>施設<rp>(</rp><rt>しせつ</rt><rp>)</rp></ruby>を<ruby>捜<rp>(</rp><rt>さが</rt><rp>)</rp></ruby>しています。,N1
門を施錠してください。,문을 잠가주세요.,"[""門を"", ""施錠して"", ""ください""]","[""<ruby>門<rp>(</rp><rt>もん</rt><rp>)</rp></ruby>を"", ""<ruby>施錠<rp>(</rp><rt>せじょう</rt><rp>)</rp></ruby>して"", ""ください""]",<ruby>門<rp>(</rp><rt>もん</rt><rp>)</rp></ruby>を<ruby>施錠<rp>(</rp><rt>せじょう</rt><rp>)</rp></ruby>してください。,etc
彼は天井を見上げた。,그는 천장을 올려다보았다.,"[""彼は"", ""天井を"", ""見上げた""]","[""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は"", ""<ruby>天井<rp>(</rp><rt>てんじょう</rt><rp>)</rp></ruby>を"", ""<ruby>見上<rp>(</rp><rt>みあ</rt><rp>)</rp></ruby>げた""]",<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は<ruby>天井<rp>(</rp><rt>てんじょう</rt><rp>)</rp></ruby>を<ruby>見上<rp>(</rp><rt>みあ</rt><rp>)</rp></ruby>げた。,N2
井戸が干上がった。,우물이 말라버렸다.,"[""井戸"", ""が"", ""干上がった""]","[""<ruby>井戸<rp>(</rp><rt>いど</rt><rp>)</rp></ruby>"", ""が"", ""<ruby>干上<rp>(</rp><rt>ひあ</rt><rp>)</rp></ruby>がった""]",<ruby>井戸<rp>(</rp><rt>いど</rt><rp>)</rp></ruby>が<ruby>干上<rp>(</rp><rt>ひあ</rt><rp>)</rp></ruby>がった。,N2
トムは自然保護官なんだ。,톰은 자연보호관이다.,"[""トムは"", ""自然"", ""保護官"", ""なんだ。""]","[""トムは"", ""<ruby>自然<rp>(</rp><rt>しぜん</rt><rp>)</rp></ruby>"", ""<ruby>保護<rp>(</rp><rt>ほご</rt><rp>)</rp></ruby><ruby>官<rp>(</rp><rt>かん</rt><rp>)</rp></ruby>"", ""なんだ。""]",トムは<ruby>自然<rp>(</rp><rt>しぜん</rt><rp>)</rp></ruby><ruby>保護<rp>(</rp><rt>ほご</rt><rp>)</rp></ruby><ruby>官<rp>(</rp><rt>かん</rt><rp>)</rp></ruby>なんだ。,N1
私はトムの護衛です。,저는 톰의 경호원입니다.,"[""私"", ""は"", ""トムの"", ""護衛"", ""です""]","[""<ruby>私<rp>(</rp><rt>わたし</rt><rp>)</rp></ruby>"", ""は"", ""トムの"", ""<ruby>護衛<rp>(</rp><rt>ごえい</rt><rp>)</rp></ruby>"", ""です""]",<ruby>私<rp>(</rp><rt>わたし</rt><rp>)</rp></ruby>はトムの<ruby>護衛<rp>(</rp><rt>ごえい</rt><rp>)</rp></ruby>です。,N1
彼女は警察に保護を求めた。,그녀는 경찰에 보호를 요청했다.,"[""彼女は"", ""警察に"", ""保護を"", ""求めた。""]","[""<ruby>彼女<rp>(</rp><rt>かのじょ</rt><rp>)</rp></ruby>は"", ""<ruby>警察<rp>(</rp><rt>けいさつ</rt><rp>)</rp></ruby>に"", ""<ruby>保護<rp>(</rp><rt>ほご</rt><rp>)</rp></ruby>を"", ""<ruby>求<rp>(</rp><rt>もと</rt><rp>)</rp></ruby>めた。""]",<ruby>彼女<rp>(</rp><rt>かのじょ</rt><rp>)</rp></ruby>は<ruby>警察<rp>(</rp><rt>けいさつ</rt><rp>)</rp></ruby>に<ruby>保護<rp>(</rp><rt>ほご</rt><rp>)</rp></ruby>を<ruby>求<rp>(</rp><rt>もと</rt><rp>)</rp></ruby>めた。,etc
私は看護婦です。,저는 간호사입니다.,"[""私は"", ""看護婦です。""]","[""<ruby>私<rp>(</rp><rt>わたし</rt><rp>)</rp></ruby>は"", ""<ruby>看護<rp>(</rp><rt>かんご</rt><rp>)</rp></ruby><ruby>婦<rp>(</rp><rt>ふ</rt><rp>)</rp></ruby>です。""]",<ruby>私<rp>(</rp><rt>わたし</rt><rp>)</rp></ruby>は<ruby>看護<rp>(</rp><rt>かんご</rt><rp>)</rp></ruby><ruby>婦<rp>(</rp><rt>ふ</rt><rp>)</rp></ruby>です。,N1
幸せは心の状態だ。,행복은 마음의 상태이다.,"[""幸せは"", ""心の"", ""状態だ。""]","[""<ruby>幸<rp>(</rp><rt>しあわ</rt><rp>)</rp></ruby>せは"", ""<ruby>心<rp>(</rp><rt>こころ</rt><rp>)</rp></ruby>の"", ""<ruby>状態<rp>(</rp><rt>じょうたい</rt><rp>)</rp></ruby>だ。""]",<ruby>幸<rp>(</rp><rt>しあわ</rt><rp>)</rp></ruby>せは<ruby>心<rp>(</rp><rt>こころ</rt><rp>)</rp></ruby>の<ruby>状態<rp>(</rp><rt>じょうたい</rt><rp>)</rp></ruby>だ。,N2
民主主義は政治形態の一つである。,민주주의는 정치 형태 중 하나다.,"[""民主主義は"", ""政治形態の"", ""一つである。""]","[""<ruby>民主<rp>(</rp><rt>みんしゅ</rt><rp>)</rp></ruby><ruby>主義<rp>(</rp><rt>しゅぎ</rt><rp>)</rp></ruby>は"", ""<ruby>政治<rp>(</rp><rt>せいじ</rt><rp>)</rp></ruby><ruby>形態<rp>(</rp><rt>けいたい</rt><rp>)</rp></ruby>の"", ""<ruby>一<rp>(</rp><rt>ひと</rt><rp>)</rp></ruby>つである。""]",<ruby>民主<rp>(</rp><rt>みんしゅ</rt><rp>)</rp></ruby><ruby>主義<rp>(</rp><rt>しゅぎ</rt><rp>)</rp></ruby>は<ruby>政治<rp>(</rp><rt>せいじ</rt><rp>)</rp></ruby><ruby>形態<rp>(</rp><rt>けいたい</rt><rp>)</rp></ruby>の<ruby>一<rp>(</rp><rt>ひと</rt><rp>)</rp></ruby>つである。,N1
態度に気を付けて。,태도를 조심하세요.,"[""態度に"", ""気を付けて""]","[""<ruby>態度<rp>(</rp><rt>たいど</rt><rp>)</rp></ruby>に"", ""<ruby>気<rp>(</rp><rt>き</rt><rp>)</rp></ruby>を<ruby>付<rp>(</rp><rt>つ</rt><rp>)</rp></ruby>けて""]",<ruby>態度<rp>(</rp><rt>たいど</rt><rp>)</rp></ruby>に<ruby>気<rp>(</rp><rt>き</rt><rp>)</rp></ruby>を<ruby>付<rp>(</rp><rt>つ</rt><rp>)</rp></ruby>けて。,N3
５００人の警官が厳重な警備態勢おかれた。,500명의 경찰이 엄중한 경비 태세를 갖추었다.,"[""５００人"", ""の"", ""警官が"", ""厳重な"", ""警備態勢"", ""おかれた。""]","[""５００<ruby>人<rp>(</rp><rt>にん</rt><rp>)</rp></ruby>"", ""の"", ""<ruby>警官<rp>(</rp><rt>けいかん</rt><rp>)</rp></ruby>が"", ""<ruby>厳重<rp>(</rp><rt>げんじゅう</rt><rp>)</rp></ruby>な"", ""<ruby>警備<rp>(</rp><rt>けいび</rt><rp>)</rp></ruby><ruby>態勢<rp>(</rp><rt>たいせい</rt><rp>)</rp></ruby>"", ""おかれた。""]",５００<ruby>人<rp>(</rp><rt>にん</rt><rp>)</rp></ruby>の<ruby>警官<rp>(</rp><rt>けいかん</rt><rp>)</rp></ruby>が<ruby>厳重<rp>(</rp><rt>げんじゅう</rt><rp>)</rp></ruby>な<ruby>警備<rp>(</rp><rt>けいび</rt><rp>)</rp></ruby><ruby>態勢<rp>(</rp><rt>たいせい</rt><rp>)</rp></ruby>おかれた。,N1
放射能漏れの実態や安全確認することは難しいのです。,방사능 누출의 실태와 안전성을 확인하기는 어렵습니다.,"[""放射能漏れの"", ""実態や"", ""安全確認することは"", ""難しいのです。""]","[""<ruby>放射能<rp>(</rp><rt>ほうしゃのう</rt><rp>)</rp></ruby><ruby>漏<rp>(</rp><rt>も</rt><rp>)</rp></ruby>れの"", ""<ruby>実態<rp>(</rp><rt>じったい</rt><rp>)</rp></ruby>や"", ""<ruby>安全<rp>(</rp><rt>あんぜん</rt><rp>)</rp></ruby><ruby>確認<rp>(</rp><rt>かくにん</rt><rp>)</rp></ruby>することは"", ""<ruby>難<rp>(</rp><rt>むずか</rt><rp>)</rp></ruby>しいのです。""]",<ruby>放射能<rp>(</rp><rt>ほうしゃのう</rt><rp>)</rp></ruby><ruby>漏<rp>(</rp><rt>も</rt><rp>)</rp></ruby>れの<ruby>実態<rp>(</rp><rt>じったい</rt><rp>)</rp></ruby>や<ruby>安全<rp>(</rp><rt>あんぜん</rt><rp>)</rp></ruby><ruby>確認<rp>(</rp><rt>かくにん</rt><rp>)</rp></ruby>することは<ruby>難<rp>(</rp><rt>むずか</rt><rp>)</rp></ruby>しいのです。,N1
人類は生態系の退化を防ぐことができるだろうか？,인류는 생태계의 퇴화를 막을 수 있을까?,"[""人類は"", ""生態系の"", ""退化を"", ""防ぐことが"", ""できる"", ""だろうか？""]","[""<ruby>人類<rp>(</rp><rt>じんるい</rt><rp>)</rp></ruby>は"", ""<ruby>生態<rp>(</rp><rt>せいたい</rt><rp>)</rp></ruby><ruby>系<rp>(</rp><rt>けい</rt><rp>)</rp></ruby>の"", ""<ruby>退化<rp>(</rp><rt>たいか</rt><rp>)</rp></ruby>を"", ""<ruby>防<rp>(</rp><rt>ふせ</rt><rp>)</rp></ruby>ぐことが"", ""できる"", ""だろうか？""]",<ruby>人類<rp>(</rp><rt>じんるい</rt><rp>)</rp></ruby>は<ruby>生態<rp>(</rp><rt>せいたい</rt><rp>)</rp></ruby><ruby>系<rp>(</rp><rt>けい</rt><rp>)</rp></ruby>の<ruby>退化<rp>(</rp><rt>たいか</rt><rp>)</rp></ruby>を<ruby>防<rp>(</rp><rt>ふせ</rt><rp>)</rp></ruby>ぐことができるだろうか？,etc
朝は空気が新鮮だ。,아침에는 공기가 신선하다.,"[""朝は"", ""空気が"", ""新鮮だ""]","[""<ruby>朝<rp>(</rp><rt>あさ</rt><rp>)</rp></ruby>は"", ""<ruby>空気<rp>(</rp><rt>くうき</rt><rp>)</rp></ruby>が"", ""<ruby>新鮮<rp>(</rp><rt>しんせん</rt><rp>)</rp></ruby>だ""]",<ruby>朝<rp>(</rp><rt>あさ</rt><rp>)</rp></ruby>は<ruby>空気<rp>(</rp><rt>くうき</rt><rp>)</rp></ruby>が<ruby>新鮮<rp>(</rp><rt>しんせん</rt><rp>)</rp></ruby>だ。,N2
鮮明に覚えてるよ。,생생하게 기억하고 있어요.,"[""鮮明に"", ""覚えてるよ。""]","[""<ruby>鮮明<rp>(</rp><rt>せんめい</rt><rp>)</rp></ruby>に"", ""<ruby>覚<rp>(</rp><rt>おぼ</rt><rp>)</rp></ruby>えてるよ。""]",<ruby>鮮明<rp>(</rp><rt>せんめい</rt><rp>)</rp></ruby>に<ruby>覚<rp>(</rp><rt>おぼ</rt><rp>)</rp></ruby>えてるよ。,etc
血は鮮血でした。,피는 선혈이었다.,"[""血は"", ""鮮血でした。""]","[""<ruby>血<rp>(</rp><rt>ち</rt><rp>)</rp></ruby>は"", ""鮮<ruby>血<rp>(</rp><rt>ち</rt><rp>)</rp></ruby>でした。""]",<ruby>血<rp>(</rp><rt>ち</rt><rp>)</rp></ruby>は<ruby>鮮血<rp>(</rp><rt>せんけつ</rt><rp>)</rp></ruby>でした。,etc
それには鋭い視力、鋭敏な聴力および鋭い嗅覚がある。,"그것은 예리한 시력, 예리한 청각과 예리한 후각을 가지고 있다.","[""それには"", ""鋭い視力、"", ""鋭敏な聴力"", ""および"", ""鋭い嗅覚がある。""]","[""それには"", ""<ruby>鋭<rp>(</rp><rt>するど</rt><rp>)</rp></ruby>い<ruby>視力<rp>(</rp><rt>しりょく</rt><rp>)</rp></ruby>、"", ""<ruby>鋭<rp>(</rp><rt>するど</rt><rp>)</rp></ruby>敏な<ruby>聴力<rp>(</rp><rt>ちょうりょく</rt><rp>)</rp></ruby>"", ""および"", ""<ruby>鋭<rp>(</rp><rt>するど</rt><rp>)</rp></ruby>い<ruby>嗅覚<rp>(</rp><rt>きゅうかく</rt><rp>)</rp></ruby>がある。""]",それには<ruby>鋭<rp>(</rp><rt>するど</rt><rp>)</rp></ruby>い<ruby>視力<rp>(</rp><rt>しりょく</rt><rp>)</rp></ruby>、<ruby>鋭敏<rp>(</rp><rt>えいびん</rt><rp>)</rp></ruby>な<ruby>聴力<rp>(</rp><rt>ちょうりょく</rt><rp>)</rp></ruby>および<ruby>鋭<rp>(</rp><rt>するど</rt><rp>)</rp></ruby>い<ruby>嗅覚<rp>(</rp><rt>きゅうかく</rt><rp>)</rp></ruby>がある。,N1
彼は視力が弱い。,그는 시력이 약하다.,"[""彼は"", ""視力が"", ""弱い。""]","[""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は"", ""<ruby>視力<rp>(</rp><rt>しりょく</rt><rp>)</rp></ruby>が"", ""<ruby>弱<rp>(</rp><rt>よわ</rt><rp>)</rp></ruby>い。""]",<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は<ruby>視力<rp>(</rp><rt>しりょく</rt><rp>)</rp></ruby>が<ruby>弱<rp>(</rp><rt>よわ</rt><rp>)</rp></ruby>い。,etc
旅行は人の視野を広める。,여행은 사람의 시야를 넓혀준다.,"[""旅行は"", ""人の"", ""視野を"", ""広める。""]","[""<ruby>旅行<rp>(</rp><rt>りょこう</rt><rp>)</rp></ruby>は"", ""<ruby>人<rp>(</rp><rt>ひと</rt><rp>)</rp></ruby>の"", ""<ruby>視野<rp>(</rp><rt>しや</rt><rp>)</rp></ruby>を"", ""<ruby>広<rp>(</rp><rt>ひろ</rt><rp>)</rp></ruby>める。""]",<ruby>旅行<rp>(</rp><rt>りょこう</rt><rp>)</rp></ruby>は<ruby>人<rp>(</rp><rt>ひと</rt><rp>)</rp></ruby>の<ruby>視野<rp>(</rp><rt>しや</rt><rp>)</rp></ruby>を<ruby>広<rp>(</rp><rt>ひろ</rt><rp>)</rp></ruby>める。,N1
彼女は視線をそらした。,그녀는 시선을 돌렸다.,"[""彼女は"", ""視線を"", ""そらした。""]","[""<ruby>彼女<rp>(</rp><rt>かのじょ</rt><rp>)</rp></ruby>は"", ""<ruby>視線<rp>(</rp><rt>しせん</rt><rp>)</rp></ruby>を"", ""そらした。""]",<ruby>彼女<rp>(</rp><rt>かのじょ</rt><rp>)</rp></ruby>は<ruby>視線<rp>(</rp><rt>しせん</rt><rp>)</rp></ruby>をそらした。,N1
彼は彼らを監視した。,그는 그들을 감시했다.,"[""彼は"", ""彼らを"", ""監視した。""]","[""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は"", ""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>らを"", ""<ruby>監視<rp>(</rp><rt>かんし</rt><rp>)</rp></ruby>した。""]",<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>らを<ruby>監視<rp>(</rp><rt>かんし</rt><rp>)</rp></ruby>した。,N2
これは理論の根幹となる数式である。,이것이 이론의 근간이 되는 수식이다.,"[""これは"", ""理論の"", ""根幹となる"", ""数式である""]","[""これは"", ""<ruby>理論<rp>(</rp><rt>りろん</rt><rp>)</rp></ruby>の"", ""<ruby>根幹<rp>(</rp><rt>こんかん</rt><rp>)</rp></ruby>となる"", ""<ruby>数式<rp>(</rp><rt>すうしき</rt><rp>)</rp></ruby>である""]",これは<ruby>理論<rp>(</rp><rt>りろん</rt><rp>)</rp></ruby>の<ruby>根幹<rp>(</rp><rt>こんかん</rt><rp>)</rp></ruby>となる<ruby>数式<rp>(</rp><rt>すうしき</rt><rp>)</rp></ruby>である。,etc
OK。新大阪の新幹線出口に行くわ。,"OK, 신오사카 신칸센 출구로 갈게요.","[""OK"", ""新大阪"", ""の"", ""新幹線"", ""出口"", ""に"", ""行く"", ""わ""]","[""OK"", ""<ruby>新大阪<rp>(</rp><rt>しんおおさか</rt><rp>)</rp></ruby>"", ""の"", ""<ruby>新幹線<rp>(</rp><rt>しんかんせん</rt><rp>)</rp></ruby>"", ""<ruby>出口<rp>(</rp><rt>でぐち</rt><rp>)</rp></ruby>"", ""に"", ""<ruby>行<rp>(</rp><rt>い</rt><rp>)</rp></ruby>く"", ""わ""]",OK。<ruby>新大阪<rp>(</rp><rt>しんおおさか</rt><rp>)</rp></ruby>の<ruby>新幹線<rp>(</rp><rt>しんかんせん</rt><rp>)</rp></ruby><ruby>出口<rp>(</rp><rt>でぐち</rt><rp>)</rp></ruby>に<ruby>行<rp>(</rp><rt>い</rt><rp>)</rp></ruby>くわ。,N1
労働組合の幹部は賃上げの凍結に反対して、闘っています。,노조 간부들은 임금인상 동결에 반대하며 투쟁하고 있다.,"[""労働組合の幹部は"", ""賃上げの凍結に"", ""反対して"", ""闘っています。""]","[""<ruby>労働<rp>(</rp><rt>ろうどう</rt><rp>)</rp></ruby><ruby>組合<rp>(</rp><rt>くみあい</rt><rp>)</rp></ruby>の<ruby>幹部<rp>(</rp><rt>かんぶ</rt><rp>)</rp></ruby>は"", ""<ruby>賃上<rp>(</rp><rt>ちんあ</rt><rp>)</rp></ruby>げの<ruby>凍結<rp>(</rp><rt>とうけつ</rt><rp>)</rp></ruby>に"", ""<ruby>反対<rp>(</rp><rt>はんたい</rt><rp>)</rp></ruby>して"", ""<ruby>闘<rp>(</rp><rt>たたか</rt><rp>)</rp></ruby>っています。""]",<ruby>労働<rp>(</rp><rt>ろうどう</rt><rp>)</rp></ruby><ruby>組合<rp>(</rp><rt>くみあい</rt><rp>)</rp></ruby>の<ruby>幹部<rp>(</rp><rt>かんぶ</rt><rp>)</rp></ruby>は<ruby>賃上<rp>(</rp><rt>ちんあ</rt><rp>)</rp></ruby>げの<ruby>凍結<rp>(</rp><rt>とうけつ</rt><rp>)</rp></ruby>に<ruby>反対<rp>(</rp><rt>はんたい</rt><rp>)</rp></ruby>して、<ruby>闘<rp>(</rp><rt>たたか</rt><rp>)</rp></ruby>っています。,N1
宮殿には高い塔がある。,궁전에는 높은 탑이 있다.,"[""宮殿には"", ""高い塔が"", ""ある。""]","[""<ruby>宮殿<rp>(</rp><rt>きゅうでん</rt><rp>)</rp></ruby>には"", ""<ruby>高<rp>(</rp><rt>たか</rt><rp>)</rp></ruby>い<ruby>塔<rp>(</rp><rt>とう</rt><rp>)</rp></ruby>が"", ""ある。""]",<ruby>宮殿<rp>(</rp><rt>きゅうでん</rt><rp>)</rp></ruby>には<ruby>高<rp>(</rp><rt>たか</rt><rp>)</rp></ruby>い<ruby>塔<rp>(</rp><rt>とう</rt><rp>)</rp></ruby>がある。,N1
